ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tag,Shipping class,Image,Cross-sells,External URL,Button text,Position,Brand,product_barcode,item_group,item_subgroup,shipping_operation,NSW,WA,VIC,TAS,NT,QLD,ACT,SA,Price Range1,Price Range3,Price Range4,Price Range5,Price Range6,Price Range7,Price Range8,Price Range9,Price Range10,Category,Parent SKU,Parent Title
,simple,HW0058,Lawn Aerator Roller Scarifier  Rolling Steel Spike Tool Garden Yard Farm Grass,Yes,Yes,visible,,"<strong>DESCRIPTION</strong<p>Plant a healthy growth, promote a beautiful lawn with our Lawn Aerator. An essential product for every garden lover, a unique design that helps strengthen the grassroots by plugging the ground with tiny holes to allow the air to better reach the roots. A simple yet effective process that will ensure your lawn stays prosperous and greener all the time.</p>
<p>For most lawns, the fertile soil may be buried underneath a blanket of dust, impure soil, and many more. These impurities deteriorate plant life thus tampering with delicacy. Bypass all these troubles by using our lawn aerator. It comprises of small spikes that you can roll around simultaneously to create miniature vents to offer a smoother flow of water, fertilizers, and air into the ground. It will improve the soil water absorption capacity, makes the roots strong, reduces soil compaction, and enhances thatch breakdown.</p>
<p>It is made of high-quality galvanized steel and PP plastic. The entire structure is built strong and tough to withstand regular and long-term usage. Its steel construction provides high resistance towards rust and corrosion, so no more worry if the conditions are wet. Very lightweight and portable, easy for you to grab and start rolling. It comes with an ergonomic long handle for improved efficiency and usability. If you want to store it &ndash; it&rsquo;s simple, disassemble it into 3 pieces for easy storage.</p>
<p>Help the nature way, build your green way. Start lawing! Order your lawn aerator now. &nbsp;&nbsp;</p>
<p><strong>Key</strong><strong>&nbsp;</strong><strong>Features:</strong></p>
<ul>
<li>27Galvanized spikes</li>
<li>Acerate up to 3.5cm depth</li>
<li>Lightweight and portable</li>
<li>Applicable on dirt, sand and clay</li>
<li>Improves turf health</li>
<li>Reduces thatch build-up</li>
<li>Relieves soil compaction</li>
<li>3Pcs detachable&nbsp;tubular&nbsp;handle</li>
</ul><p><strong>SPECIFICATION</strong><ul>
<li>Spike and frame material: Galvanized steel</li>
<li>Wheel material: PP plastic</li>
<li>Diameter: 14.5 cm</li>
<li>Spike length: 3.5 cm</li>
<li>Number of spike：27</li>
<li>Weight：3.4kg</li>
<li>Dimension: 44cm x 14.5cm x 150cm</li>
<li>Colour: Green</li>
</ul><p><strong>PACKAGE CONTENTS</strong><ul>
<li>1 x Lawn Aerator Roller</li>
<li>1 x Instruction Manual</li>
</ul>",,,taxable,Taxable Goods,0,0,5,,1,3890,45.5,24.5,22.5,1,,89.99,105.99,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Yard,Default Category/Home & Garden/Gardening Supplies,Default Category/Home & Garden/Artificial Grass",,,"https://www.idropship.com.au/pub/media/catalog/product/H/W/HW0058_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/H/W/HW0058_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/H/W/HW0058_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/H/W/HW0058_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/H/W/HW0058_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/H/W/HW0058_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/H/W/HW0058_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/H/W/HW0058_48.jpg",,,,,Unbranded,9.36E+12,Tools & Accessories,Lawn Scarifier,0,0,0,0,0,0,0,0,0,,,,,,,,,,Dog/Dog Feeding & Cleanup/Dog Clean Up & Odours,,
,simple,SG1003-10SQM-AU,10SQM Artificial Grass Lawn Synthetic Turf Flooring Outdoor Plant Lawn 40MM,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Want to decorate your environments? Our Artificial&nbsp;Grass would be your prime choice, suitable for both indoor and outdoor environment. It is an attractive and maintenance-free alternative to real grass. Made from a UV stabilised yarn, this turf is anti-colour fading and sun damage, also it is odourless and non-toxic. The polyethylene (PE) material features excellent properties, and the backing of the turf encourages quick drainage and holds fast to the ground, even without any taping. It looks incredibly natural and has the appearance of a perfectly manicured lawn. Let our Artificial&nbsp;Grass brings convenience and ambience to your everyday life. No more weeding, watering, mowing or trimming!&nbsp;</p>
<p>If you concern it&rsquo;s&nbsp;not firm enough, you can purchase our Joining&nbsp;Tape. There are 4 size options, made of non-woven fabric is strong enough to keep firmly for years.&nbsp;Exceptional adhesion qualities, bond artificial grasses securely. Simply cut it to your desired size, lay it on the ground and press the turf smoothly and evenly.</p>
<p><strong>Key Features</strong></p>
<ul>
<li>Realistic turf</li>
<li>Maintenance free</li>
<li>Premium polyethylene</li>
<li>Wear and fade resistance</li>
<li>Odorless and non-toxic</li>
<li>Pet and kids friendly</li>
<li>Genuine and softer touch</li>
<li>Easy to cut and install</li>
</ul><b>SPECIFICATION</b><p>Material: PP and PE</p>
<p>Pile height: 40mm</p>
<p>Tufted density (d/M2):15700D</p>
<p>Stitch rate (/10cm):12</p>
<p>Dimension: 2m x 5m (10SQM)</p>
<p>Colour: 4-Colour</p><b>PACKAGE CONTENTS</b><ul>
<li>1x Artificial Grass</li>
</ul>",05/19/2021,,taxable,Taxable Goods,1,0,5,,1,18000,205,25,25,1,,107.99,319.99,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Yard,Default Category/Home & Garden/Gardening Supplies,Default Category/Home & Garden/Artificial Grass",,,"https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-10SQM-AU_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-10SQM-AU_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-10SQM-AU_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-10SQM-AU_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-10SQM-AU_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-10SQM-AU_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-10SQM-AU_47.jpg",,,,,Unbranded,9.36E+12,Garden / Agriculture,Artificial Grass,0,0,0,0,0,0,0,0,0,,,,,,,,,,Dog/Dog Feeding & Cleanup/Dog Clean Up & Odours,,
,simple,SG1003-1X10M,10M Artificial Grass Synthetic Turf Plastic Plant Lawn Joining Tape,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Want to decorate your environments? Our Artificial&nbsp;Grass would be your prime choice, suitable for both indoor and outdoor environment. It is an attractive and maintenance-free alternative to real grass. Made from a UV stabilised yarn, this turf is anti-colour fading and sun damage, also it is odourless and non-toxic. The polyethylene (PE) material features excellent properties, and the backing of the turf encourages quick drainage and holds fast to the ground, even without any taping. It looks incredibly natural and has the appearance of a perfectly manicured lawn. Let our Artificial&nbsp;Grass brings convenience and ambience to your everyday life. No more weeding, watering, mowing or trimming!&nbsp;</p>
<p>If you concern it&rsquo;s&nbsp;not firm enough, you can purchase our Joining&nbsp;Tape. There are 4 size options, made of non-woven fabric is strong enough to keep firmly for years.&nbsp;Exceptional adhesion qualities, bond artificial grasses securely. Simply cut it to your desired size, lay it on the ground and press the turf smoothly and evenly.</p>
<p><strong>Key Features</strong></p>
<ul>
<li>Realistic turf</li>
<li>Maintenance free</li>
<li>Premium polyethylene</li>
<li>Wear and fade resistance</li>
<li>Odorless and non-toxic</li>
<li>Pet and kids friendly</li>
<li>Genuine and softer touch</li>
<li>Easy to cut and install</li>
</ul><b>SPECIFICATION</b><p>Material: PP and PE</p>
<p>Pile height: 40mm</p>
<p>Tufted density (d/M2):15700D</p>
<p>Stitch rate (/10cm):12</p>
<p>Dimension: 1m x 10m (10SQM)</p>
<p>Colour: 4-Colour</p><b>PACKAGE CONTENTS</b><ul>
<li>1x Artificial Grass</li>
</ul>",,,taxable,Taxable Goods,0,0,5,,1,37000,204,27,27,1,,98.99,319.99,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Yard,Default Category/Home & Garden/Gardening Supplies,Default Category/Home & Garden/Artificial Grass",,,"https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X10M_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X10M_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X10M_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X10M_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X10M_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X10M_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X10M_47.jpg",,,,,Unbranded,9.36E+12,Garden / Agriculture,Artificial Grass,0,0,0,0,0,0,0,0,0,,,,,,,,,,Dog/Dog Feeding & Cleanup/Dog Clean Up & Odours,SG1003-TAPE,Artificial Grass Synthetic Turf Plastic Plant Lawn Joining Tape
,simple,SG1003-1X20M,20M Artificial Grass Synthetic Turf Plastic Plant Lawn Joining Tape,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Want to decorate your environments? Our Artificial&nbsp;Grass would be your prime choice, suitable for both indoor and outdoor environment. It is an attractive and maintenance-free alternative to real grass. Made from a UV stabilised yarn, this turf is anti-colour fading and sun damage, also it is odourless and non-toxic. The polyethylene (PE) material features excellent properties, and the backing of the turf encourages quick drainage and holds fast to the ground, even without any taping. It looks incredibly natural and has the appearance of a perfectly manicured lawn. Let our Artificial&nbsp;Grass brings convenience and ambience to your everyday life. No more weeding, watering, mowing or trimming!&nbsp;</p>
<p>If you concern it&rsquo;s&nbsp;not firm enough, you can purchase our Joining&nbsp;Tape. There are 4 size options, made of non-woven fabric is strong enough to keep firmly for years.&nbsp;Exceptional adhesion qualities, bond artificial grasses securely. Simply cut it to your desired size, lay it on the ground and press the turf smoothly and evenly.</p>
<p><strong>Key Features</strong></p>
<ul>
<li>Realistic turf</li>
<li>Maintenance free</li>
<li>Premium polyethylene</li>
<li>Wear and fade resistance</li>
<li>Odorless and non-toxic</li>
<li>Pet and kids friendly</li>
<li>Genuine and softer touch</li>
<li>Easy to cut and install</li><b>SPECIFICATION</b><p>Material: PP and PE</p>
<p>Pile height: 40mm</p>
<p>Tufted density (d/M2):15700D</p>
<p>Stitch rate (/10cm):12</p>
<p>Dimension: 1m x 20m (20SQM)</p>
<p>Colour: 4-Colour</p><b>PACKAGE CONTENTS</b><ul>
<li>1x Artificial Grass</li>
</ul>",,,taxable,Taxable Goods,0,0,5,,1,37000,204,27,27,1,,206.99,669,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Yard,Default Category/Home & Garden/Gardening Supplies,Default Category/Home & Garden/Artificial Grass",,,"https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X20M_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X20M_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X20M_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X20M_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X20M_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X20M_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-1X20M_47.jpg",,,,,Unbranded,9.36E+12,Garden / Agriculture,Artificial Grass,0,0,0,0,0,0,0,0,0,,,,,,,,,,Dog/Dog Feeding & Cleanup/Dog Clean Up & Odours,SG1003-TAPE,Artificial Grass Synthetic Turf Plastic Plant Lawn Joining Tape
,simple,SG1003-2x10m-NT,40MM Artificial Grass Synthetic 20SQM Pegs Turf Plastic Fake Plant Lawn Flooring,Yes,Yes,visible,,"<b>DESCRIPTION</b>Want to decorate your garden? Our Artificial Grass would be your prime choice, suitable for both indoor and outdoor environment. It is an attractive and maintenance-free alternative to real grass. Made from a UV stabilised yarn, this turf is anti-colour fading and sun damage yet odourless and non-toxic. The polyethylene (PE) material features excellent properties, and the turf backing encourages quick drainage and holds fast to the ground, even without any taping. It looks incredibly natural and has perfectly manicured lawn appearance. Let our Artificial Grass brings convenience and ambience to your everyday life. No more weeding, watering, mowing or trimming! 
If you concern an extra secure hold to its ground, you can purchase our Joining Tape. There are 4 size options, made of non-woven fabric for robot use to keep firmly for years. Exceptional adhesion qualities, bond artificial grasses securely. Simply cut it to your desired size, lay it on the ground and press the turf smoothly and evenly.
<p><strong>Key Features:</strong></p>
<ul>
<li>Realistic turf</li>
<li>Maintenance free</li>
<li>Premium polyethylene</li>
<li>Wear and fade resistance</li>
<li>Odorless and non-toxic</li>
<li>Pet and kids friendly</li>
<li>Genuine and softer touch</li>
<li>Easy to cut and install</li>
</ul><b>SPECIFICATION</b><p>Material: PP and PE</p>
<p>Backing: Styrene-butadiene rubber</p>
<p>Pile height: 40mm</p>
<p>Tufted density (d/M2):15700D</p>
<p>Stitch rate (/10cm):15</p>
<p>Dimension:&nbsp; 2m x 10m (20SQM)</p>
<p>Colour: Three-colour</p><b>PACKAGE CONTENTS</b><ul>
<li>1x Artificial Grass</li>
</ul>",,,taxable,Taxable Goods,1,100,5,,1,36000,204,27,27,1,,282.1405,539.99,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Yard,Default Category/Home & Garden/Gardening Supplies,Default Category/Home & Garden/Artificial Grass,Default Category/Discount Centre,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x10m-NT_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x10m-NT_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x10m-NT_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x10m-NT_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x10m-NT_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x10m-NT_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x10m-NT_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x10m-NT_48.jpg",,,,,,9.36E+12,Garden / Agriculture,Artificial Grass,0,0,0,0,0,0,0,0,0,,,,,,,,,,Dog/Dog Feeding & Cleanup/Dog Clean Up & Odours,SG1003-MAIN,Artificial Grass Synthetic 
,simple,SG1003-2x5m-NT,40MM Artificial Grass Synthetic 10SQM Pegs Turf Plastic Plant Fake Lawn Flooring,Yes,Yes,visible,,"<b>DESCRIPTION</b>Want to decorate your garden? Our Artificial Grass would be your prime choice, suitable for both indoor and outdoor environment. It is an attractive and maintenance-free alternative to real grass. Made from a UV stabilised yarn, this turf is anti-colour fading and sun damage yet odourless and non-toxic. The polyethylene (PE) material features excellent properties, and the turf backing encourages quick drainage and holds fast to the ground, even without any taping. It looks incredibly natural and has perfectly manicured lawn appearance. Let our Artificial Grass brings convenience and ambience to your everyday life. No more weeding, watering, mowing or trimming! 
If you concern an extra secure hold to its ground, you can purchase our Joining Tape. There are 4 size options, made of non-woven fabric for robot use to keep firmly for years. Exceptional adhesion qualities, bond artificial grasses securely. Simply cut it to your desired size, lay it on the ground and press the turf smoothly and evenly.
<p><strong>Key Features:</strong></p>
<ul>
<li>Realistic turf</li>
<li>Maintenance free</li>
<li>Premium polyethylene</li>
<li>Wear and fade resistance</li>
<li>Odorless and non-toxic</li>
<li>Pet and kids friendly</li>
<li>Genuine and softer touch</li>
<li>Easy to cut and install</li>
</ul><b>SPECIFICATION</b><p>Material: PP and PE</p>
<p>Backing: Styrene-butadiene rubber</p>
<p>Pile height: 40mm</p>
<p>Tufted density (d/M2):15700D</p>
<p>Stitch rate (/10cm):15</p>
<p>Dimension:&nbsp; 2m x 5m (10SQM)</p>
<p>Colour: Three-colour</p><b>PACKAGE CONTENTS</b><ul>
<li>1x Artificial Grass</li>
</ul>",,,taxable,Taxable Goods,1,100,5,,1,19300,210,26,26,1,,145.3405,319.99,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Building Materials & DIY,Default Category/Home & Garden/Yard,Default Category/Home & Garden/Other Home & Garden,Default Category/Home & Garden/Gardening Supplies,Default Category/Home & Garden/Artificial Grass,Default Category/Discount Centre,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-NT_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-NT_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-NT_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-NT_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-NT_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-NT_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-NT_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-NT_48.jpg",,,,,Unbranded,9.36E+12,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,Dog/Dog Feeding & Cleanup/Dog Clean Up & Odours,SG1003-MAIN,Artificial Grass Synthetic 
,simple,SG1003-2x5m-RL,40MM Fake Grass Artificial Synthetic Pegs Turf Plastic Plant Mat Lawn Flooring,Yes,Yes,visible,,"<b>DESCRIPTION</b>Want to decorate your garden? Our Artificial Grass would be your prime choice, suitable for both indoor and outdoor environment. It is an attractive and maintenance-free alternative to real grass. Made from a UV stabilised yarn, this turf is anti-colour fading and sun damage yet odourless and non-toxic. The polyethylene (PE) material features excellent properties, and the turf backing encourages quick drainage and holds fast to the ground, even without any taping. It looks incredibly natural and has perfectly manicured lawn appearance. Let our Artificial Grass brings convenience and ambience to your everyday life. No more weeding, watering, mowing or trimming! 
If you concern an extra secure hold to its ground, you can purchase our Joining Tape. There are 4 size options, made of non-woven fabric for robot use to keep firmly for years. Exceptional adhesion qualities, bond artificial grasses securely. Simply cut it to your desired size, lay it on the ground and press the turf smoothly and evenly.
<p><strong>Key Features:</strong></p>
<ul>
<li>Realistic turf</li>
<li>Maintenance free</li>
<li>Premium polyethylene</li>
<li>Wear and fade resistance</li>
<li>Odorless and non-toxic</li>
<li>Pet and kids friendly</li>
<li>Genuine and softer touch</li>
<li>Easy to cut and install</li>
</ul><b>SPECIFICATION</b><p>Material: PP and PE</p>
<p>Backing: Styrene-butadiene rubber</p>
<p>Pile height: 40mm</p>
<p>Tufted density (d/M2):15700D</p>
<p>Stitch rate (/10cm):15</p>
<p>Dimension:&nbsp; 2m x 5m (10SQM)</p>
<p>Colour: Four-colour</p><b>PACKAGE CONTENTS</b><ul>
<li>1x Artificial Grass</li>
</ul>",,,taxable,Taxable Goods,0,0,5,,1,19000,210,26,26,1,,152.99,319.99,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Yard,Default Category/Home & Garden/Gardening Supplies,Default Category/Home & Garden/Artificial Grass",,,"https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-RL_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-RL_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-RL_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-RL_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-RL_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-RL_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-RL_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1003-2x5m-RL_48.jpg",,,,,,9.36E+12,Garden / Agriculture,Artificial Grass,0,0,0,0,0,0,0,0,0,,,,,,,,,,Dog/Dog Feeding & Cleanup/Dog Clean Up & Odours,SG1003-MAIN,Artificial Grass Synthetic 
,simple,SG1004,1x Artificial Boxwood Hedge Fake Vertical Garden Green Wall Mat Fence Outdoor,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>These beautiful evergreen hedge panels are perfect for indoors or outdoors, decorating your home, fence, balcony or wall, instant boxwood hedge screenings and artificial vertical gardens, also perfect for offices, or shops to add some greenery indoors.</p>
<p>Super easy to install, can be joined together using the hole and lug system around the outside of each panel to make any size you want, and can be cut along the grid and the back to make them as small as you desire. &nbsp;</p>
<ul>
<li>UV-proof, weatherproof to withstand the elements. &nbsp;</li>
<li>Easily cut to fit your own need &nbsp;</li>
<li>Made in PU Material Life span 15 years, UV coating protection. &nbsp;</li>
<li>Trimming, watering and&nbsp;pesticides, fertilizers free &nbsp;</li>
<li>Thicker sturdy backing with drainage</li>
</ul><b>SPECIFICATION</b><ul>
<li>Material: HDPE (High Density Polyethylene)</li>
<li>Dimensions (LxWxH): 60cm x 40cm x 4cm</li>
<li>Colour: Green</li>
</ul><b>PACKAGE CONTENTS</b><ul>
<li>1x Synthetic Hedge Tile</li>
</ul>",07/30/2020,,taxable,Taxable Goods,0,0,5,,1,300,60,40,5,1,,11.5,39,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home Decor,Default Category/Home Decor/Wall Garden,Default Category/Home Decor/Floral Decor,Default Category/Home & Garden/Artificial Grass",,,"https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1004_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1004_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1004_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1004_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1004_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1004_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1004_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1004_48.jpg",,,,,Unbranded,9.36E+12,Garden / Agriculture,Artificial Grass Fence,0,0,0,0,0,0,0,0,0,,,,,,,,,,Dog/Dog Feeding & Cleanup/Dog Clean Up & Odours,,
,simple,SG1013-15x1000,1 Roll 10Mx15cm Self Adhesive Artificial Grass Fake Lawn Joining Tape,Yes,Yes,visible,,"<b>DESCRIPTION</b></ul>
<li>Designed for bonding and gluing down synthetic grass</li>
<li>Self-adhesive tape</li>
<li>Non-woven fabric, more durable</li>
<li>Can be cut into any desired size</li>
<li>Good durability and excellent adhesion</li>
<li>Convenient roll size for ease of handling</li>
<li>Easy to use</li>
<li>Suitable for both indoor and outdoor surfaces</li>
</ul><b>SPECIFICATION</b></ul>
<li>Material: Non-Woven Fabric</li>
<li>Size(L x W): 10Mx15CM</li>
<li>Colour: as picture</li>
</ul><b>PACKAGE CONTENTS</b><ul>
<li>1x Artificial Grass Tape</li>
</ul>",08/21/2020,,taxable,Taxable Goods,1,100,5,,1,690,11,11,16,1,,14.39,49,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Yard,Default Category/Home & Garden/Gardening Supplies,Default Category/Home & Garden/Artificial Grass,Default Category/Back In Stock",,,"https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1000_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1000_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1000_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1000_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1000_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1000_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1000_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1000_48.jpg",,,,,,9.36E+12,Garden / Agriculture,Artificial Grass,0,0,0,0,0,0,0,0,0,,,,,,,,,,Dog/Dog Feeding & Cleanup/Dog Clean Up & Odours,,
,simple,SG1013-15x1500,10-60SQM Artificial Grass Synthetic Turf Plastic Pegs Plant Lawn Joining Tape,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Want to decorate your environments? Our Artificial&nbsp;Grass would be your prime choice, suitable for both indoor and outdoor environment. It is an attractive and maintenance-free alternative to real grass. Made from a UV stabilised yarn, this turf is anti-colour fading and sun damage, also it is odourless and non-toxic. The polyethylene (PE) material features excellent properties, and the backing of the turf encourages quick drainage and holds fast to the ground, even without any taping. It looks incredibly natural and has the appearance of a perfectly manicured lawn. Let our Artificial&nbsp;Grass brings convenience and ambience to your everyday life. No more weeding, watering, mowing or trimming!&nbsp;</p>
<p>If you concern it&rsquo;s&nbsp;not firm enough, you can purchase our Joining&nbsp;Tape. There are 4 size options, made of non-woven fabric is strong enough to keep firmly for years.&nbsp;Exceptional adhesion qualities, bond artificial grasses securely. Simply cut it to your desired size, lay it on the ground and press the turf smoothly and evenly.</p>
<p><strong>Key Features</strong></p>
<ul>
<li>Realistic turf</li>
<li>Maintenance free</li>
<li>Premium polyethylene</li>
<li>Wear and fade resistance</li>
<li>Odorless and non-toxic</li>
<li>Pet and kids friendly</li>
<li>Genuine and softer touch</li>
<li>Easy to cut and install</li>
</ul><b>SPECIFICATION</b><p><strong>Artificial grass</strong></p>
<p><strong>40mm Pile height</strong><br />Material: PP and PE<br />Tufted density (d/M2): 15700D<br />Stitch rate (/10cm): 12<br />Pile height: 40mm<br />Dimension:<br />2m x 5m (10SQM)<br />2m x 10m (20SQM)<br />1m x 10m (10SQM)<br />1m x 20m (20SQM)<br />Colour: 4-Colour</p>
<p><strong>8mm Pile height</strong><br />Material: PP and PE<br />Tufted density (d/M2): 2000D<br />Stitch rate (/10cm): 20<br />Pile height: 8mm<br />Dimension: 2m x 5m (10SQM)<br />Colour: Green</p>
<p><strong>Joining tape</strong><br />Material: Non-woven fabric<br />Dimension: 15cm x 5m / 15cm x 10m / 15cmx 15m / 15cm x 20m (W x L)<br />Colour: Green</p><b>PACKAGE CONTENTS</b><ul>
<li>1x Artificial Grass / 1x Grass Joining Tape</li>
</ul>",,,taxable,Taxable Goods,1,88,5,,1,900,13,13,16,1,,20.5105,69,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Yard,Default Category/Home & Garden/Artificial Grass,Default Category/Back In Stock,Default Category/Discount Centre,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1500_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1500_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1500_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1500_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1500_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1500_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1500_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/S/G/SG1013-15x1500_48.jpg",,,,,Unbranded,9.36E+12,Garden / Agriculture,Artificial Grass,0,0,0,0,0,0,0,0,0,,,,,,,,,,Dog/Dog Feeding & Cleanup/Dog Clean Up & Odours,,
