ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tag,Shipping class,Image,Cross-sells,External URL,Button text,Position,Brand,product_barcode,item_group,item_subgroup,shipping_operation,NSW,WA,VIC,TAS,NT,QLD,ACT,SA,Price Range1,Price Range3,Price Range4,Price Range5,Price Range6,Price Range7,Price Range8,Price Range9,Price Range10
,simple,AB0402,Wall Mounted Triple Cereal Dispenser Dry Food Storage Container Dispense Machine,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Our newly designed and high quality home kitchen wall mounted Triple Cereal Dispenser prevents cereal or other dry foods from going stale. Kids will find it fun turning the knob and watching the cereal fall perfectly into their bowl while moms can be assured that kids will not be spilling cereal all over the kitchen. The dispenser is&nbsp;hermetically sealed which preserves the freshness of dry food. Simply place a bowl under the dispenser and twist a knob to get a controlled portion. The simple, elegant design features one clear, see through, high quality plastic container which holds one box of cereal. Very easy to clean and fit on most countertops. Now your kids can enjoy the cereal and dry food in style.</p><b>SPECIFICATIONS</b><ul>
<li>Material: PS, ABS, TPR</li>
<li>Triple Cereal Dispenser: Height 30 cm X Width 40cm/15.7&rdquo;x11.8&rdquo;</li>
<li>Wall mount fixings: Height 9 cm X Width 40cm/15.7&rdquo;x3.5&rdquo;</li>
<li>Pack also includes wall mount fixings for Wall Mount Dispenser with 3 Screws</li>
<li>Total Container capacity: 4.5L/153oz</li>
<li>Weight: 1.68kgs/3.7lbs</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x Triple Cereal Dispencer</li>
</ul>",12/17/2019,,taxable,None,0,10,5,,1,1600,41.5,15.5,33,1,,44.99,89,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Kitchen,Default Category/Accessories/Dining",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_1217.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_1111.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_1093.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_1115.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_1114.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_1057.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle1_594.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_899.jpg",,,,,Unbranded,9.36E+12,Kitchen Supplies,Cereal Dispenser,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,AC207,Huntkey 2 Outlet Surge Protected Powerboard with Dual USB Charging Ports,Yes,Yes,visible,,"<b>DESCRIPTION</b><ul>
<li>Huntkey's expertise in power is now at home in your lounge room or office with their SAC series of powerboards!</li>
<li>The Huntkey 2 Socket Wall Charger with 2 USB Charging Ports is an ideal solution for charging multiple devices such&nbsp;as martphones, tablets, mobile devices and many more.</li>
<li>The design on the charger allows the users to save the space on the power outlets at home, giving them more power outlets for other appliances at home.</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>of 2 Outlets:</li>
</ul>
<p><br /> Type: Wall Charger (Power Adapter)<br /> Ports: 2x USB nad 2x Australian Socket<br /> Plug: Australia / NZ<br /> Input: 100-240V, 50/60Hz<br /> USB Output: 5V, 2.4A Total Output<br /> Product Dimension (in cm): 12.45 (L) x 7.2 (W) x 2.90 (H) cm<br /> Product Weight (in gram): 95 g</p><b>PACKAGE CONTENT</b><ul>
<li>1x Huntkey 2 Way Surge Protector Power Board</li>
</ul>",12/17/2019,,taxable,None,0,10,5,,1,200,4,4,4,1,,17.09,49,Default Category/All Products,,,"https://www.idropship.com.au/pub/media/catalog/product/a/c/ac207_main_1.jpg,https://www.idropship.com.au/pub/media/catalog/product/a/c/ac207_1_.jpg,https://www.idropship.com.au/pub/media/catalog/product/a/c/ac207_3_.jpg",,,,,Huntkey,9.36E+12,Entertainment & Elec,Power Board,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,AF1001,2 Rolls Vacuum Food Sealer Seal Bags Rolls Saver Storage Commercial Grade 22cm,Yes,Yes,visible,,"<b>DESCRIPTION</b><ul>
<li>Extra heavy duty-190 microns thick</li>
<li>Constructed of a multi-layer poly nylon to block moisture and oxygen</li>
<li>Non-embossed front panel for optimum clarity</li>
<li>Embossed back panel for maximum oxygen removel</li>
<li>Long term freezer safe</li>
<li>Microwave safe for reheating in the pack</li>
<li>Suitable for all domestic vacuum sealers</li>
<li>Safe to place in boiling wter</li>
<li>Free of BPA</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Material: PE & Nylon</li>
<li>Roll size: 6mx22cm</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>2 Rolls 6mx22cm</li>
</ul>",12/17/2019,,taxable,None,0,10,5,,1,400,22,12.5,6,1,,16.06,39,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Kitchen,Default Category/Accessories/Dining",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_1218.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_1112.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_1094.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_1116.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_1115.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_1058.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle1_703.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_1089.jpg",,,,,Unbranded,9.36E+12,Kitchen Supplies,Food Vacuum Sealer Bag,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,BF1008-D-BG,Levede Bed Frame Base With Gas Lift Double Size Platform Fabric,Yes,Yes,visible,,"<b>DESCRIPTION</b><ul>
<li>Strong and sturdy gas lift storage functionality Storage capacity</li>
<li>30cm (from ground to top of the side board including feet)</li>
<li>Modern Scandinavian inspired designer headboard</li>
<li>High grade construction materials utilised Item is flat pack for home assembly</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Material:Wood+Fabric</li>
<li>Colour: Beige</li>
<li>Double: 200x146x90cm</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x Gas Lift Storage Bed Frame</li>
</ul>",2/4/2020,,taxable,Taxable Goods,1,10,5,,1,52000,195,96,30,1,,296.99,749,"Default Category/All Products,Default Category/Home & Garden,Default Category/Furniture,Default Category/Furniture/Bed Frames & Head Boards",,,"https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1008-bg_664__10.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1008-d-bg_107__1.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1004-d-wh_438__4.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1004-d-wh_259__6.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1008-bg_141__4.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1008-bg_261__5.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1008-bg_728__7.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1008-bg_956__8.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1008-bg_653__9.jpg",,,,,Levede,9.36E+12,Bedroom,Gas Lift Bed Frame,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,BF1012-K,Levede Bed Frame Double King Fabric With Drawers Storage Wooden Mattress Grey,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>If you're looking to for an attractive bed keep your space clutter-free, our&nbsp;fabric bed with storage drawers is the perfect choice for you.&nbsp;The frame is constructed with a sturdy wood frame that's wrapped with cotton and linen&nbsp;fabric&nbsp;will look stunning in any bedroom in your home. Not only does it provide a stylish place to sleep, but the storage drawers will help you keep your space clutter-free.</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Elegant upholstery</li>
<li>Premium fabric</li>
<li>Solid wood frame</li>
<li>Premium fabric headboard</li>
<li>High density foam</li>
<li>Deluxe drawer</li>
<li>Reinforced slat base</li>
<li>Study and durable legs</li>
<li>Floor protector</li>
<li>Ventilated frame</li>
<li>Precision stitching</li>
<li>Trustworthy and reliable use</li>
<li>Note: Unzipped the headboard for bedframe slats.</li>
</ul><b>SPECIFICATION</b><p>Brand?Levede</p>
<p>Material: Cotton and linen fabric</p>
<p>Filling: Foam and polyester</p>
<p>Slats:&nbsp;Aspen wood</p>
<p>Drawer dimension: 54cm x 54.5cm x 13cm</p>
<p>Dimension (L x W x H):</p>
<p>King: 215.5cm x 192cm x 104cm</p>
<p>Colour:&nbsp;Grey</p><b>PACKAGE CONTENTS</b><ul>
<li>1x Bed Frame</li>
<li>1x User Manual</li>
<li>Installation Accessories</li>
</ul>",2/4/2020,,taxable,Taxable Goods,0,10,5,,1,62300,211,117.5,28,1,,350.03,599,Default Category/All Products,,,"https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012-k_main.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012_675__2.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012_070__3.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012_562__4.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012_741__5.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012_027__6.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012_873__7.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012_532__8.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012_183__9.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012_833__10.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b2028129.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b2028229.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b20281729.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b20281829.jpg",,,,,Levede,9.36E+12,Bedroom,Wooden Bed Frame,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,BF1012-K-BE,Levede Bed Frame King Fabric With Drawers Storage Beige,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>If you're looking to for an attractive bed keep your space clutter-free, our&nbsp;fabric bed with storage drawers is the perfect choice for you.&nbsp;The frame is constructed with a sturdy wood frame that's wrapped with cotton and linen&nbsp;fabric&nbsp;will look stunning in any bedroom in your home. Not only does it provide a stylish place to sleep, but the storage drawers will help you keep your space clutter-free.</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Elegant upholstery</li>
<li>Premium fabric</li>
<li>Solid wood frame</li>
<li>Premium fabric headboard</li>
<li>High density foam</li>
<li>Deluxe drawer</li>
<li>Reinforced slat base</li>
<li>Study and durable legs</li>
<li>Floor protector</li>
<li>Ventilated frame</li>
<li>Precision stitching</li>
<li>Trustworthy and reliable use</li>
<li>Note: Unzipped the headboard for bedframe slats.</li>
</ul><b>SPECIFICATION</b><p>Brand?Levede</p>
<p>Material: Cotton and linen fabric</p>
<p>Filling: Foam and polyester</p>
<p>Slats:&nbsp;Aspen wood</p>
<p>Drawer dimension: 54cm x 54.5cm x 13cm</p>
<p>Dimension (L x W x H):</p>
<p>King: 215.5cm x 192cm x 104cm</p>
<p>Colour:&nbsp;Beige</p><b>PACKAGE CONTENTS</b><ul>
<li>1x Bed Frame</li>
<li>1x User Manual</li>
<li>Installation Accessories</li>
</ul>",2/4/2020,,taxable,Taxable Goods,1,10,5,,1,45280,195.5,104,22,1,,422.99,599,"Default Category/All Products,Default Category/Home & Garden,Default Category/Furniture,Default Category/Furniture/Bed Frames & Head Boards",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_1979.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_1864.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_1833.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_1874.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_1872.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_1790.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle2_95.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_1828.jpg",,,,,Levede,9.36E+12,Bedroom,Bed Frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,simple,BF1012-Q,Levede Bed Frame Double King Fabric With Drawers Storage Wooden Mattress Grey,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>If you're looking to for an attractive bed keep your space clutter-free, our&nbsp;fabric bed with Storage Drawers is the perfect choice for you.&nbsp;The frame is constructed with a sturdy wood frame that's wrapped with cotton and linen&nbsp;fabric&nbsp;will look stunning in any bedroom in your home. Not only does it provide a stylish place to sleep, but the storage drawers will help you keep your space clutter-free.</p>
<p>&nbsp;</p>
<ul>
<li>Wooden arched slat base</li>
<li>Strong centre support strut</li>
<li>Premium linen fabric</li>
<li>Breathable fabric headboard</li>
<li>Four large storage drawers with wheels</li>
<li>Comes with Floor protectors</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Material: Cotton and Linen Fabric+MDF</li>
<li>Product Size:&nbsp; &nbsp;</li>
<li>Queen: 220(L)x165(W)x106(H)cm</li>
<li>Mattress Size :</li>
<li>Accommodates Queen Size 153cm &times; 203cm - Not Included</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1 x Bed Frame</li>
<li>1 x use manual</li>
<li>Some installation accessories</li>
</ul>",2/4/2020,,taxable,Taxable Goods,0,10,5,,1,53000,210,117,28,1,,323.09,551,Default Category/All Products,,,"https://www.idropship.com.au/pub/media/catalog/product/b/f/bfq_main.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012-q.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b2028229_1.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b2028129_1.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b2028329_1.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b2028429_1.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b2028529.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b2028929.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b20281029.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b20281129.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b20281229.jpg,https://www.idropship.com.au/pub/media/catalog/product/b/f/bf1012202b2b-2b20281729_1.jpg",,,,,Levede,9.36E+12,Bedroom,Bed Frame,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,BF1012-Q-BE,Levede Bed Frame  Queen Fabric With Drawers Storage Wooden Mattress Beige,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>If you're looking to for an attractive bed keep your space clutter-free, our&nbsp;fabric bed with storage drawers is the perfect choice for you.&nbsp;The frame is constructed with a sturdy wood frame that's wrapped with cotton and linen&nbsp;fabric&nbsp;will look stunning in any bedroom in your home. Not only does it provide a stylish place to sleep, but the storage drawers will help you keep your space clutter-free.</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Elegant upholstery</li>
<li>Premium fabric</li>
<li>Solid wood frame</li>
<li>Premium fabric headboard</li>
<li>High density foam</li>
<li>Deluxe drawer</li>
<li>Reinforced slat base</li>
<li>Study and durable legs</li>
<li>Floor protector</li>
<li>Ventilated frame</li>
<li>Precision stitching</li>
<li>Trustworthy and reliable use</li>
<li>Note: Unzipped the headboard for bedframe slats.</li>
</ul><b>SPECIFICATION</b><p>Brand?Levede</p>
<p>Material: Cotton and linen fabric</p>
<p>Filling: Foam and polyester</p>
<p>Slats:&nbsp;Aspen wood</p>
<p>Drawer dimension: 54cm x 54.5cm x 13cm</p>
<p>Dimension (L x W x H):</p>
<p>Queen: 215.5cm x 162cm x 104cm</p>
<p>Colour: Beige</p><b>PACKAGE CONTENTS</b><ul>
<li>1x Bed Frame</li>
<li>1x User Manual</li>
<li>Installation Accessories</li>
</ul>",2/4/2020,,taxable,Taxable Goods,0,10,5,,1,56000,210,116,29,1,,359.99,551,Default Category/All Products,,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_1982.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_1867.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_1836.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_1877.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_1875.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_1793.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle2_98.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_1831.jpg",,,,,Levede,9.36E+12,Bedroom,Bed Frame,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CC1010-AB,Levede 2 in 1 Bathroom Tallboy Furniture Toilet Storage Cabinet Laundry Cupboard,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Made of durable MDF Board that have low formaldehyde level, which is non-harmful to the users.</p>
<p>Making you an environmentally responsible consumer in a way.&nbsp;When you have limited space to use, this wall cabinet is the ideal solution to have to utilise your bathroom.</p>
<p>Making sure you have the storage for every little things you have to get yourself ready for the day! Get both in one go.</p>
<ul>
<li>Key feaures include:</li>
<li>Space saving design</li>
<li>Contemporary and stylish</li>
<li>Durable and practical</li>
<li>Eco-friendly and non-irritating</li>
<li>Solid MDF construction</li>
<li>Magnetic door shut</li>
<li>Easy to assemble</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Material: MDF </li>
<li>Overall dimensions:40(L)X30(W)X170(H)cm/15.7&rdquo;x11.8&rdquo;x66.9&rdquo;</li>
<li>Color: White</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x Bathroom Storage Cabinet</li>
</ul>",,,taxable,Taxable Goods,0,10,5,,1,15600,105,69.5,45,1,,134.99,299,"Default Category/All Products,Default Category/Home & Garden,Default Category/Furniture,Default Category/Furniture/Cabinets & Cupboards",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2325.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2210.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2167.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2219.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2218.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2135.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle1_1314.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_2168.jpg",,,,,Levede,9.36E+12,Bathroom,Bathroom Storage Cabinet,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CH1007-4-WH,Levede 4x Retro Replica PU Leather Dining Chair Office Cafe Lounge Chairs,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Add a touch of designer status to your dining area with our iconic set of Eames Replica Eiffel dining chairs.</p>
<p>Ever since these much discoursed dining chairs made their eminent debut in 1950 from Charles and Ray Eames, they have stood the test of time and style to become a symbol of minimalistic design for our contemporary homes.</p>
<p>Crafted with precision and care, the Eames Replica Eiffel dining chair remains the seat of choice for the discerning modernista.&nbsp; &nbsp;</p>
<p>&nbsp;</p>
<p>Key Features include:</p>
<ul>
<li>Eames Replica Eiffel dining chair</li>
<li>Premium PU leather&nbsp;seat</li>
<li>Ultra Strong Wooden legs</li>
<li>Improved hardware inserts</li>
<li>Felt floor protectors</li>
<li>Easy to assemble</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Overall dimensions: 86x42x46cm</li>
<li>Colours: white</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>4x Dining Chair</li>
<li>1 x Assembly Manual</li>
</ul>",2/10/2020,,taxable,Taxable Goods,0,10,5,,1,20000,60,56,47,1,,161.99,419,"Default Category/All Products,Default Category/Home & Garden,Default Category/Furniture,Default Category/Furniture/Tables & Chairs",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2521.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2406.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2362.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2415.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2414.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2331.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle2_128.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_2365.jpg",,,,,Levede,9.36E+12,Dining Room,Dining Chair,0,0,0,0,0,0,0,0,0,,,,,,,,,
