ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tag,Shipping class,Image,Cross-sells,External URL,Button text,Position,Brand,product_barcode,item_group,item_subgroup,shipping_operation,NSW,WA,VIC,TAS,NT,QLD,ACT,SA,Price Range1,Price Range3,Price Range4,Price Range5,Price Range6,Price Range7,Price Range8,Price Range9,Price Range10,Category,Parent SKU,Parent Title
,simple,JJ0781-DB,0.6M PaWz Cat Scratching Post Tree Gym House Condo Furniture Scratcher Pole,Yes,Yes,visible,,"<b>DESCRIPTION</b>This product would help support positive scratching behavior<br><br>
<ul>
 <li>Environmental Friendly </li>
 <li>Can be used Indoor </li>
 <li>Great for Home &amp; Garden&amp; Crawl Space &amp; Pedestals</li>
 <li>High Quality Sisal Poles</li>
 <li>Strong Sturdy Construction</li>
 <li>100% safe to your cat and family</li>
 <li>Suitable for all size cats and kittens</li>
</ul><b>SPECIFICATION</b><ul>
<li>Material: PLUSH+MDF Board</li>
<li>Dimensions: 61x38x28cm</li>
<li>Material Poles: Sisal</li>
<li>Total Height: 61cm</li>
<li>Colour: Dark Brown</li>
</ul><b>PACKAGE CONTENTS</b><ul>
<li>1x Cat Tree</li>
<li>1x User Manual</li>
</ul>",04/16/2021,,taxable,Taxable Goods,1,100,5,,1,4400,41,31,30,1,,28.2055,69,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Cat Tree & Scratchers,Default Category/Pet 2/Cat Tree,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0781-DB_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0781-DB_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0781-DB_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0781-DB_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0781-DB_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0781-DB_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0781-DB_47.jpg",,,,,PaWz,9.36E+12,Pet Products,Cat Tree,0,0,0,0,0,0,0,0,0,,,,,,,,,,"Cat
Cat Play
Cat Scratchers
Scratching Trees/ Scratching Post",,
,simple,JJ0795-BR,183cm Cat Scratching Post Tree Gym House Condo Furniture Scratcher Pole Brown,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Your lovely active animal needs a place to let it be itself. And the PaWz Cat Scratch Tree is just the perfect thing to cater to your cats' natural instincts. Designed to be a condo that exudes a sense of security, the 1.45m Scratch Tree features cubby holes and platforms of various heights to allow your pet to jump, hop, skip, scratch, rest and nap to its heart's content.&nbsp;The poles are fully wrapped with thick sisal, which is ideal for your pet to practice her daily regime of keeping its claws in good shape. Also, it can help to keep your pet off your expensive furniture. Made from E1 standard board and natural sisal, the entire unit is both pet and eco-friendly with durable and longlasting qualities.&nbsp;What's more, the Scratch Tree is upholstered with a plush velvety surface for extra comfort and style!</p>
<ul>
<li>100% Brand new and high quality</li>
<li>Stable wooden construction</li>
<li>Natural sisal posts and soft plush cover</li>
<li>Multi-level design with ample play areas</li>
<li>Hanging toys for extra fun</li>
<li>Includes scratching, perching, climbing, sleeping all in one piece</li>
</ul><b>SPECIFICATION</b><ul>
<li>Frame: Resistent wood</li>
<li>Cover: Plush velvet</li>
<li>Post: Natural sisal</li>
</ul><b>PACKAGE CONTENTS</b><ul>
<li>1x Cat Tree</li>
<li>1x Assembly Kit</li>
<li>1x User Manual</li>
</ul>",4/9/2020,,taxable,Taxable Goods,0,0,5,,1,20200,62,58,26,1,,79.19,249,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Cat Tree & Scratchers,Default Category/Pet 2/Cat Tree",,,"https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0795-BR_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0795-BR_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0795-BR_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0795-BR_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0795-BR_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0795-BR_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0795-BR_47.jpg",,,,,PaWz,9.36E+12,Pet Products,Cat Tree,0,0,0,0,0,0,0,0,0,,,,,,,,,,"Cat
Cat Play
Cat Scratchers
Scratching Trees/ Scratching Post",,
,simple,PT1050-MD-200,200 X PaWz Pet Training Pads Puppy Dog Cat Pee Toilet Pad Cushion Meadow Scent,Yes,Yes,visible,,"<strong>DESCRIPTION</strong><p>Little paws growing up, not sure how to train them to perform the most crucial task. Do not worry we got you covered PaWz&nbsp;Pet Training Pad is designed just for that. Provides great comfort and care for your lovely pet. The surface of the pad is made of high-quality non-woven fabric, for superior comfort. Designed to be skin-friendly, breathable, and tear-resistant does not harm your adorable pet. Absorbs quickly and an efficiently good amount of liquids. Pets do not like wet places, so we designed a pet training pad that converts liquid into a gel for a smooth and comfortable experience. Does not let the liquids pass with its remarkable waterproof layer beneath. Pets will their new training pad as it emits to foul odor provides meadow fragrance. Place the pad wherever you desire and stick it on the floor using its strong adhesive sticky tape. Use it anywhere, whether it may be your hall, room, or bathroom. Train your pet with the most adorable way available. A pad designed to help your pets grow up. A unique pet-friendly product for a pet-friendly home. Hurry up, grab one now!</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>5-Layers protection&nbsp;</li>
<li>Odours neutralization</li>
<li>Large coverage</li>
<li>Tear-and-wear resistant</li>
<li>Super absorbent</li>
<li>Leakproof layer</li>
<li>Soft and skin-friendly</li>
<li>Indentation design</li>
<li>Adhesive tape</li>
<li>Multiple use</li>
</ul><strong>SPECIFICATION</strong><p>Brand: PaWz</p>
<p>Material: Non-woven fabric</p>
<p>Scent: Meadow</p>
<p>Quantity per pack: 200 </p>
<p>Dimension: 60cm x 60cm</p><strong>PACKAGE CONTENTS</strong><ul>
<li>200 x PaWz Training Pad</li>
</ul>",11/25/2020,,taxable,Taxable Goods,0,0,5,,1,7280,41,41,27,1,,51.29,140,"Default Category/Pet Supplies,Default Category/All Products,Default Category/Pet Supplies/Other Pet Supplies",,,"https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-200_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-200_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-200_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-200_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-200_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-200_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-200_47.jpg",,,,,PaWz,9.36E+12,Pet Products,Pet Training Pad,0,0,0,0,0,0,0,0,0,,,,,,,,,,"Dog
Dog Feeding & Cleanup
Dog Clean Up & Odours
Indoor Training Pads",,
,simple,PB1009-M-BKx2,2x PaWz Pet Bed Mattress Dog Cat Pad Mat Summer Winter Cushion Pillow M Black,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Tired of having your pets keep coming up to your bed or couch? Too much fur falling off while cuddling? It's time to get them their own pet bed. It's good to cuddle sometimes, but having their own bed would let them know where to go when they're alone. Get them comfortable on their own bed and never invade your furniture anymore.</p>
<ul>
<li>Comfortable and heavy duty bed for pets</li>
<li>Supports joints and soothes pressure points</li>
<li>Durable oxford fabric- water-resistance, dirt proof</li>
<li>Premium PP cotton filling- Plush generously cushioned</li>
<li>Removable, washable cover</li>
<li>Waterproof and anti-skid base</li>
<li>Hidden zipper prevents dog from chewing</li>
<li>Tough stitching for long term usage</li>
<li>Lightweight and durable</li>
<li>Protects furniture floors from dirt and fur</li>
<li>Suitable for cats and dogs</li>
</ul>
<p>Purchase now and have it delivered to your doorstep. Simple and hassle free. It's ready to use whenever your pet is ready！</p><b>SPECIFICATION</b><ul>
<li>Material:</li>
<li>Outer Shell: oxford fabric</li>
<li>Inner Shell: non-woven fabrics</li>
<li>Filling: Polypropylene cotton</li>
<li>Color: Blue, Red, Black</li>
<li>M Size: 70(L)x45(W)x6(H)cm</li>
<li>L Size: 85(L)x55(W)x8(H)cm</li>
<li>XL Size: 105(L)x65(W)x8(H)cm</li>
</ul><b>PACKAGE CONTENTS</b><ul>
<li>2x Pet Bed</li>
</ul>",,,taxable,Taxable Goods,1,100,5,,1,1800,45,32,28,1,,41.857,109,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/P/B/PB1009-M-BKx2_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/B/PB1009-M-BKx2_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/B/PB1009-M-BKx2_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/B/PB1009-M-BKx2_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/B/PB1009-M-BKx2_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/B/PB1009-M-BKx2_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/B/PB1009-M-BKx2_47.jpg",,,,,PaWz,9.36E+12,Pet Products,Pet Bed,0,0,0,0,0,0,0,0,0,,,,,,,,,,"Cat
Cat Care Essentials
Cat Beds
Mattress Beds",,
,simple,PT1050-MD-50,50 X PaWz Pet Training Pads Puppy Dog Cat Pee Toilet Pad Cushion Meadow Scent,Yes,Yes,visible,,"<strong>DESCRIPTION</strong><p>Little paws growing up, not sure how to train them to perform the most crucial task. Do not worry we got you covered PaWz&nbsp;Pet Training Pad is designed just for that. Provides great comfort and care for your lovely pet. The surface of the pad is made of high-quality non-woven fabric, for superior comfort. Designed to be skin-friendly, breathable, and tear-resistant does not harm your adorable pet. Absorbs quickly and an efficiently good amount of liquids. Pets do not like wet places, so we designed a pet training pad that converts liquid into a gel for a smooth and comfortable experience. Does not let the liquids pass with its remarkable waterproof layer beneath. Pets will their new training pad as it emits to foul odor provides meadow fragrance. Place the pad wherever you desire and stick it on the floor using its strong adhesive sticky tape. Use it anywhere, whether it may be your hall, room, or bathroom. Train your pet with the most adorable way available. A pad designed to help your pets grow up. A unique pet-friendly product for a pet-friendly home. Hurry up, grab one now!</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>5-Layers protection&nbsp;</li>
<li>Odours neutralization</li>
<li>Large coverage</li>
<li>Tear-and-wear resistant</li>
<li>Super absorbent</li>
<li>Leakproof layer</li>
<li>Soft and skin-friendly</li>
<li>Indentation design</li>
<li>Adhesive tape</li>
<li>Multiple use</li>
</ul><strong>SPECIFICATION</strong><p>Brand: PaWz</p>
<p>Material: Non-woven fabric</p>
<p>Scent: Meadow</p>
<p>Quantity per pack: 50 </p>
<p>Dimension: 60cm x 60cm</p><strong>PACKAGE CONTENTS</strong><ul>
<li>50 x PaWz Training Pad</li>
</ul>",11/25/2020,,taxable,Taxable Goods,0,0,5,,1,1860,21,21,27,1,,20.69,140,"Default Category/Pet Supplies,Default Category/All Products,Default Category/Pet Supplies/Other Pet Supplies",,,"https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-50_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-50_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-50_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-50_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-50_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-50_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1050-MD-50_47.jpg",,,,,PaWz,9.36E+12,Pet Products,Pet Training Pad,0,0,0,0,0,0,0,0,0,,,,,,,,,,"Dog
Dog Feeding & Cleanup
Dog Clean Up & Odours
Indoor Training Pads",,
,simple,PT1037-L-BL,8 Panel Pet Playpen Dog Puppy Play Exercise Enclosure Fence Blue L,Yes,Yes,visible,,"<strong>DESCRIPTION</strong<p>Provide a private space, let them have fun, help them behave better with our contemporary Pet Playpen. A unique practical design that offers you easy management, simple set up, and great usage. It provides your pet an open area to jump around, swivel around, and play around &ndash; All while in a secure enclosure. Pampered pets demand comfort and some even style! To appeal to the general mass, we have made our product stupendously pet-friendly, one that is comfortable and also a style icon. Tailored to the most minute details, crafted with sleek and smooth textures to provide your furry boss with the ultimate relaxing experience. Featuring a foldable design that you easily fold up and take anywhere, whether going to a friend&rsquo;s house or out for a picnic our product is ready to sway in with your journey.</p>
<p>Made of high-quality 600D Polyester. Built tough and strong to withstand all those darnedest tantrums. Its polyester construction provides a wide range of advantages such as excellent water, scratch, and fade resistance. It comprises of durable mesh window with two inbuilt doors for better ventilation. The upper surface of the playpen is equipped with mesh for a comprehensive view of the surroundings and added safety. Store all your pet&rsquo;s drinks and snacks - It also comes with a side pocket, mesh pouch, and elastic strap. Use its roll-up zipper to open and close the doors, provided with a double zipper for added security. Very easy to install, suitable for indoor and outdoor use.</p>
<p>Made adorable for adorable ones. Don&rsquo;t miss out, order your playpen now!</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Sturdy and safe</li>
<li>Spacious area</li>
<li>High quality material</li>
<li>Water resistant</li>
<li>Mesh window and top</li>
<li>Soft-sided crate</li>
<li>Convenient storage</li>
<li>Collapsible&nbsp;design</li>
<li>Easy access</li>
</ul><p><strong>SPECIFICATION</strong><p>Material: &nbsp;600D Oxford</p>
<p>Colour: Blue</p>
<p>Dimension (Dia x H):</p>
<p>48”: 123cm&nbsp;x 56cm</p><p><strong>PACKAGE CONTENTS</strong><ul>
<li>1x Pet Playpen</li>
<li>4x Ground Peg</li>
<li>1x Bonus Carry bag</li>
</ul>",,,taxable,Taxable Goods,1,98,5,,1,2750,65,54,7,1,,46.2745,90,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-BL_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-BL_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-BL_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-BL_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-BL_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-BL_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-BL_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-BL_48.jpg",,,,,Unbranded,9.36E+12,Pet Products,Pet Playpen,0,0,0,0,0,0,0,0,0,,,,,,,,,,"Dog
 
Dog Play

 
Dog Enclosures

Enclosures",PT1037-MAIN,8 Panel Pet Playpen Dog Puppy Play Exercise Enclosure Fence
,simple,PT1037-M-BL,8 Panel Pet Playpen Dog Puppy Play Exercise Enclosure Fence Blue M,Yes,Yes,visible,,"<strong>DESCRIPTION</strong<p>Provide a private space, let them have fun, help them behave better with our contemporary Pet Playpen. A unique practical design that offers you easy management, simple set up, and great usage. It provides your pet an open area to jump around, swivel around, and play around &ndash; All while in a secure enclosure. Pampered pets demand comfort and some even style! To appeal to the general mass, we have made our product stupendously pet-friendly, one that is comfortable and also a style icon. Tailored to the most minute details, crafted with sleek and smooth textures to provide your furry boss with the ultimate relaxing experience. Featuring a foldable design that you easily fold up and take anywhere, whether going to a friend&rsquo;s house or out for a picnic our product is ready to sway in with your journey.</p>
<p>Made of high-quality 600D Polyester. Built tough and strong to withstand all those darnedest tantrums. Its polyester construction provides a wide range of advantages such as excellent water, scratch, and fade resistance. It comprises of durable mesh window with two inbuilt doors for better ventilation. The upper surface of the playpen is equipped with mesh for a comprehensive view of the surroundings and added safety. Store all your pet&rsquo;s drinks and snacks - It also comes with a side pocket, mesh pouch, and elastic strap. Use its roll-up zipper to open and close the doors, provided with a double zipper for added security. Very easy to install, suitable for indoor and outdoor use.</p>
<p>Made adorable for adorable ones. Don&rsquo;t miss out, order your playpen now!</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Sturdy and safe</li>
<li>Spacious area</li>
<li>High quality material</li>
<li>Water resistant</li>
<li>Mesh window and top</li>
<li>Soft-sided crate</li>
<li>Convenient storage</li>
<li>Collapsible&nbsp;design</li>
<li>Easy access</li>
</ul><p><strong>SPECIFICATION</strong><p>Material: &nbsp;600D Oxford</p>
<p>Colour: Blue</p>
<p>Dimension (Dia x H):</p>
<p>36”: 91cm&nbsp;x 56cm</p><p><strong>PACKAGE CONTENTS</strong><ul>
<li>1x Pet Playpen</li>
<li>4x Ground Peg</li>
<li>1x Bonus Carry bag</li>
</ul>",,,taxable,Taxable Goods,1,100,5,,1,2200,65,40,6,1,,42.351,80,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-BL_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-BL_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-BL_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-BL_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-BL_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-BL_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-BL_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-BL_48.jpg",,,,,Unbranded,9.36E+12,Pet Products,Pet Playpen,0,0,0,0,0,0,0,0,0,,,,,,,,,,"Dog
 
Dog Play

 
Dog Enclosures

Enclosures",PT1037-MAIN,9 Panel Pet Playpen Dog Puppy Play Exercise Enclosure Fence
,simple,PT1037-XL-BL,8 Panel Pet Playpen Dog Puppy Play Exercise Enclosure Fence Blue XL,Yes,Yes,visible,,"<strong>DESCRIPTION</strong<p>Provide a private space, let them have fun, help them behave better with our contemporary Pet Playpen. A unique practical design that offers you easy management, simple set up, and great usage. It provides your pet an open area to jump around, swivel around, and play around &ndash; All while in a secure enclosure. Pampered pets demand comfort and some even style! To appeal to the general mass, we have made our product stupendously pet-friendly, one that is comfortable and also a style icon. Tailored to the most minute details, crafted with sleek and smooth textures to provide your furry boss with the ultimate relaxing experience. Featuring a foldable design that you easily fold up and take anywhere, whether going to a friend&rsquo;s house or out for a picnic our product is ready to sway in with your journey.</p>
<p>Made of high-quality 600D Polyester. Built tough and strong to withstand all those darnedest tantrums. Its polyester construction provides a wide range of advantages such as excellent water, scratch, and fade resistance. It comprises of durable mesh window with two inbuilt doors for better ventilation. The upper surface of the playpen is equipped with mesh for a comprehensive view of the surroundings and added safety. Store all your pet&rsquo;s drinks and snacks - It also comes with a side pocket, mesh pouch, and elastic strap. Use its roll-up zipper to open and close the doors, provided with a double zipper for added security. Very easy to install, suitable for indoor and outdoor use.</p>
<p>Made adorable for adorable ones. Don&rsquo;t miss out, order your playpen now!</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Sturdy and safe</li>
<li>Spacious area</li>
<li>High quality material</li>
<li>Water resistant</li>
<li>Mesh window and top</li>
<li>Soft-sided crate</li>
<li>Convenient storage</li>
<li>Collapsible&nbsp;design</li>
<li>Easy access</li>
</ul><p><strong>SPECIFICATION</strong><p>Material: &nbsp;600D Oxford</p>
<p>Colour: Blue</p>
<p>Dimension (Dia x H):</p>
<p>52”: 130cm x 79cm</p><p><strong>PACKAGE CONTENTS</strong><ul>
<li>1x Pet Playpen</li>
<li>4x Ground Peg</li>
<li>1x Bonus Carry bag</li>
</ul>",,,taxable,Taxable Goods,1,98,5,,1,3550,85,54,7,1,,61.636,116,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-XL-BL_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-XL-BL_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-XL-BL_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-XL-BL_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-XL-BL_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-XL-BL_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-XL-BL_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-XL-BL_48.jpg",,,,,Unbranded,9.36E+12,Pet Products,Pet Playpen,0,0,0,0,0,0,0,0,0,,,,,,,,,,"Dog
 
Dog Play

 
Dog Enclosures

Enclosures",PT1037-MAIN,10 Panel Pet Playpen Dog Puppy Play Exercise Enclosure Fence
,simple,PT1037-L-GY,8 Panel Pet Playpen Dog Puppy Play Exercise Enclosure Fence Grey L,Yes,Yes,visible,,"<strong>DESCRIPTION</strong<p>Provide a private space, let them have fun, help them behave better with our contemporary Pet Playpen. A unique practical design that offers you easy management, simple set up, and great usage. It provides your pet an open area to jump around, swivel around, and play around &ndash; All while in a secure enclosure. Pampered pets demand comfort and some even style! To appeal to the general mass, we have made our product stupendously pet-friendly, one that is comfortable and also a style icon. Tailored to the most minute details, crafted with sleek and smooth textures to provide your furry boss with the ultimate relaxing experience. Featuring a foldable design that you easily fold up and take anywhere, whether going to a friend&rsquo;s house or out for a picnic our product is ready to sway in with your journey.</p>
<p>Made of high-quality 600D Polyester. Built tough and strong to withstand all those darnedest tantrums. Its polyester construction provides a wide range of advantages such as excellent water, scratch, and fade resistance. It comprises of durable mesh window with two inbuilt doors for better ventilation. The upper surface of the playpen is equipped with mesh for a comprehensive view of the surroundings and added safety. Store all your pet&rsquo;s drinks and snacks - It also comes with a side pocket, mesh pouch, and elastic strap. Use its roll-up zipper to open and close the doors, provided with a double zipper for added security. Very easy to install, suitable for indoor and outdoor use.</p>
<p>Made adorable for adorable ones. Don&rsquo;t miss out, order your playpen now!</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Sturdy and safe</li>
<li>Spacious area</li>
<li>High quality material</li>
<li>Water resistant</li>
<li>Mesh window and top</li>
<li>Soft-sided crate</li>
<li>Convenient storage</li>
<li>Collapsible&nbsp;design</li>
<li>Easy access</li>
</ul><p><strong>SPECIFICATION</strong><p>Material: &nbsp;600D Oxford</p>
<p>Colour: Grey</p>
<p>Dimension (Dia x H):</p>
<p>48”: 123cm&nbsp;x 56cm</p><p><strong>PACKAGE CONTENTS</strong><ul>
<li>1x Pet Playpen</li>
<li>4x Ground Peg</li>
<li>1x Bonus Carry bag</li>
</ul>",,,taxable,Taxable Goods,1,84,5,,1,2750,65,54,7,1,,46.6165,90,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-GY_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-GY_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-GY_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-GY_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-GY_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-GY_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-GY_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-L-GY_48.jpg",,,,,Unbranded,9.36E+12,Pet Products,Pet Playpen,0,0,0,0,0,0,0,0,0,,,,,,,,,,"Dog
 
Dog Play

 
Dog Enclosures

Enclosures",PT1037-MAIN,11 Panel Pet Playpen Dog Puppy Play Exercise Enclosure Fence
,simple,PT1037-M-GY,8 Panel Pet Playpen Dog Puppy Play Exercise Enclosure Fence Grey M,Yes,Yes,visible,,"<strong>DESCRIPTION</strong<p>Provide a private space, let them have fun, help them behave better with our contemporary Pet Playpen. A unique practical design that offers you easy management, simple set up, and great usage. It provides your pet an open area to jump around, swivel around, and play around &ndash; All while in a secure enclosure. Pampered pets demand comfort and some even style! To appeal to the general mass, we have made our product stupendously pet-friendly, one that is comfortable and also a style icon. Tailored to the most minute details, crafted with sleek and smooth textures to provide your furry boss with the ultimate relaxing experience. Featuring a foldable design that you easily fold up and take anywhere, whether going to a friend&rsquo;s house or out for a picnic our product is ready to sway in with your journey.</p>
<p>Made of high-quality 600D Polyester. Built tough and strong to withstand all those darnedest tantrums. Its polyester construction provides a wide range of advantages such as excellent water, scratch, and fade resistance. It comprises of durable mesh window with two inbuilt doors for better ventilation. The upper surface of the playpen is equipped with mesh for a comprehensive view of the surroundings and added safety. Store all your pet&rsquo;s drinks and snacks - It also comes with a side pocket, mesh pouch, and elastic strap. Use its roll-up zipper to open and close the doors, provided with a double zipper for added security. Very easy to install, suitable for indoor and outdoor use.</p>
<p>Made adorable for adorable ones. Don&rsquo;t miss out, order your playpen now!</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Sturdy and safe</li>
<li>Spacious area</li>
<li>High quality material</li>
<li>Water resistant</li>
<li>Mesh window and top</li>
<li>Soft-sided crate</li>
<li>Convenient storage</li>
<li>Collapsible&nbsp;design</li>
<li>Easy access</li>
</ul><p><strong>SPECIFICATION</strong><p>Material: &nbsp;600D Oxford</p>
<p>Colour: Grey</p>
<p>Dimension (Dia x H):</p>
<p>36”: 91cm&nbsp;x 56cm</p><p><strong>PACKAGE CONTENTS</strong><ul>
<li>1x Pet Playpen</li>
<li>4x Ground Peg</li>
<li>1x Bonus Carry bag</li>
</ul>",,,taxable,Taxable Goods,1,86,5,,1,2200,65,40,6,1,,42.5505,80,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-GY_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-GY_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-GY_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-GY_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-GY_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-GY_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-GY_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT1037-M-GY_48.jpg",,,,,Unbranded,9.36E+12,Pet Products,Pet Playpen,0,0,0,0,0,0,0,0,0,,,,,,,,,,"Dog
 
Dog Play

 
Dog Enclosures

Enclosures",PT1037-MAIN,12 Panel Pet Playpen Dog Puppy Play Exercise Enclosure Fence
